latitude,longitude,altitude,geometry,Name,description
45.876624,14.609413,,Point,Turjak,1311
46.630579,16.318817,,Point,Turnišče,9224
45.718645,15.122681,,Point,Uršna sela,8323
46.120012,14.838409,,Point,Vače,1252
45.470966,14.872398,,Point,Vas,1336
46.35925,15.108948,,Point,Velenje,3320
45.929662,14.968872,,Point,Velika Loka,8212
46.413719,16.108704,,Point,Velika Nedelja,2274
46.573495,16.343536,,Point,Velika Polana,9225
45.836454,14.637909,,Point,Velike Lašče,1315
45.938258,14.907761,,Point,Veliki Gaber,8213
46.583878,16.162949,,Point,Veržej,9241
45.850087,14.697647,,Point,Videm-Dobrepolje,1312
46.366358,15.913696,,Point,Videm pri Ptuju,2284
45.462539,15.26207,,Point,Vinica,8344
45.847934,13.951263,,Point,Vipava,5271
46.148443,14.607697,,Point,Vir pri Domžalah,1232
46.273885,14.416809,,Point,Visoko,4212
45.956401,14.739532,,Point,Višnja Gora,1294
46.382465,15.299149,,Point,Vitanje,3205
46.527454,15.939789,,Point,Vitomarci,2255
46.190289,14.495087,,Point,Vodice,1217
46.290494,15.301208,,Point,Vojnik,3212
45.904105,13.668709,,Point,Volčja Draga,5293
46.547292,15.808296,,Point,Voličina,2232
46.246351,14.957886,,Point,Vransko,3305
45.654368,14.029541,,Point,Vremski Britof,6217
45.968334,14.295273,,Point,Vrhnika,1360
46.595675,15.230827,,Point,Vuhred,2365
46.596147,15.166283,,Point,Vuzenica,2367
46.052982,15.36335,,Point,Zabukovje nad Sevnico,8292
46.130601,14.999084,,Point,Zagorje ob Savi,1410
45.860488,14.836178,,Point,Zagradec,1303
46.387201,16.050339,,Point,Zavrč,2283
45.979309,15.536728,,Point,Zdole,8272
46.265816,14.270897,,Point,Zgornja Besnica,4201
46.528635,15.768127,,Point,Zgornja Korena,2242
46.640244,15.609512,,Point,Zgornja Kungota,2201
46.387201,15.518875,,Point,Zgornja Ložnica,2316
46.428865,15.611229,,Point,Zgornja Polskava,2314
46.682539,15.760746,,Point,Zgornja Velka,2314
